APG,BPG,DRB PG,EFG %,FG %,FG PG,FG2 %,FG2 PG,FG2A PG,FG3 %,FG3 PG,FG3A PG,FGA PG,FT %,FT PG,FTA PG,Fouls PG,GP,GS,MPG,ORB PG,PPG,SPG,TO PG,TRB PG,Teams,age,name,position
0.7,0.1,1.0,.762,.667,2.0,.625,1.4,2.3,.800,0.6,0.7,3.0,.600,0.9,1.4,1.7,7,0,11.4,0.1,5.4,0.3,0.6,1.1,Wade Baldwin,21,Wade Baldwin,PG
7.2,0.8,5.6,.440,.360,3.9,.420,2.2,5.2,.305,1.7,5.7,10.8,.451,0.6,1.4,2.3,52,50,34.2,1.3,10.2,1.7,2.6,6.9,Lonzo Ball,20,Lonzo Ball,PG
6.3,0.0,2.7,.522,.439,4.4,.499,2.7,5.5,.367,1.7,4.5,10.0,.784,1.2,1.5,1.2,69,10,23.2,0.2,11.6,0.5,2.1,2.9,J.J. Barea,33,J.J. Barea,PG
2.0,0.2,5.1,.494,.445,7.0,.478,5.4,11.4,.357,1.5,4.3,15.7,.827,3.4,4.1,1.2,77,77,34.2,1.0,18.9,0.6,1.5,6.1,Harrison Barnes,25,Harrison Barnes,PF
4.1,0.6,4.2,.528,.452,5.7,.510,3.8,7.5,.370,1.9,5.2,12.7,.805,2.2,2.8,2.1,81,40,33.1,0.9,15.7,1.0,1.8,5.0,Will Barton,27,Will Barton,SG
5.5,0.4,3.9,.486,.415,4.2,.473,2.8,5.9,.336,1.4,4.3,10.2,.831,1.7,2.0,1.1,64,64,31.0,0.9,11.6,1.0,2.0,4.8,Nicolas Batum,29,Nicolas Batum,SG
1.4,0.2,1.7,.519,.416,2.8,.474,1.4,3.0,.370,1.4,3.7,6.7,.795,0.9,1.1,2.3,39,11,23.7,0.4,7.9,0.6,1.2,2.1,Jerryd Bayless,29,Jerryd Bayless,SG
1.1,0.6,3.8,.474,.471,2.6,.487,2.6,5.2,.143,0.0,0.3,5.5,.756,0.7,1.0,2.5,81,67,18.3,1.6,6.0,0.3,1.0,5.4,Aron Baynes,31,Aron Baynes,C
3.5,0.7,3.4,.500,.420,4.4,.438,2.7,6.2,.394,1.7,4.2,10.4,.796,2.5,3.1,2.3,65,65,27.5,0.4,12.9,1.5,2.4,3.8,Kent Bazemore,28,Kent Bazemore,SG
4.5,0.4,3.7,.527,.460,8.3,.507,5.9,11.6,.375,2.4,6.5,18.1,.791,3.6,4.5,2.0,82,82,36.3,0.7,22.6,1.2,2.6,4.4,Bradley Beal,24,Bradley Beal,SG
0.5,0.1,0.9,.489,.410,1.2,.469,0.7,1.5,.341,0.5,1.3,2.9,.667,0.4,0.5,0.6,62,0,9.4,0.2,3.2,0.2,0.4,1.1,Malik Beasley,21,Malik Beasley,SG
1.7,0.6,4.3,.528,.507,5.5,.520,5.1,9.7,.395,0.5,1.2,10.9,.780,1.7,2.1,2.0,74,30,22.3,1.3,13.2,0.5,1.9,5.6,Michael Beasley,29,Michael Beasley,PF
1.9,0.2,1.6,.539,.441,4.2,.509,2.4,4.6,.377,1.9,4.9,9.6,.908,1.9,2.0,1.1,80,2,24.3,0.3,12.1,0.8,1.2,1.9,Marco Belinelli,31,Marco Belinelli,SG
1.8,1.0,2.6,.627,.627,2.0,.641,2.0,3.2,.000,0.0,0.1,3.2,.682,0.5,0.8,1.6,57,13,14.2,1.1,4.6,0.6,0.9,3.6,Jordan Bell,23,Jordan Bell,C
1.9,0.5,2.5,.457,.414,2.0,.429,1.6,3.8,.367,0.4,1.2,4.9,.576,0.7,1.3,1.5,26,3,17.5,0.3,5.2,0.8,1.8,2.8,DeAndre' Bembry,23,DeAndre' Bembry,SF
1.6,0.6,3.9,.508,.386,2.3,.426,0.8,2.0,.366,1.4,3.9,5.9,.765,0.5,0.6,2.0,82,37,25.2,0.5,6.5,0.3,1.4,4.4,Dragan Bender,20,Dragan Bender,PF
1.0,0.4,1.8,.568,.440,2.1,.588,0.9,1.5,.373,1.2,3.3,4.8,.816,0.5,0.6,1.2,77,10,14.1,0.2,5.9,0.3,0.5,2.0,Dāvis Bertāns,25,Dāvis Bertāns,PF
2.9,0.5,2.6,.504,.403,4.4,.407,2.2,5.4,.400,2.2,5.5,10.8,.824,1.3,1.5,3.1,11,11,30.4,1.5,12.2,1.7,2.3,4.1,Patrick Beverley,29,Patrick Beverley,SG
0.8,0.5,2.6,.540,.540,1.6,.540,1.6,3.0,,0.0,0.0,3.0,.689,1.0,1.5,1.3,42,0,13.8,1.7,4.2,0.4,0.5,4.3,Khem Birch,25,Khem Birch,C
