APerM,BPerM,DRB PerM,FG %,FG PerM,FG2 PerM,FG2A PerM,FG3 %,FG3 PerM,FG3A PerM,FGA PerM,FTPerM,Fouls PerM,GP,GS,MPG,ORB PerM,PPerM,SPerM,TO PerM,TRB PerM,Teams,age,name,position
0.9,1.8,3.6,.286,1.8,.308,5.8,.000,0.0,0.4,6.2,0.9,4.9,13,0,81,0.9,4.4,2.7,0.9,4.4,Antonius Cleveland,23,Antonius Cleveland,SG
0.0,0.9,2.6,.571,3.4,.250,3.4,1.000,2.6,2.6,6.0,1.7,10.3,4,0,42,0.9,11.1,0.9,4.3,3.4,Antonius Cleveland,23,Antonius Cleveland,SG
,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,7.4,.576,6.3,.598,10.0,.340,0.3,0.9,11.0,2.7,4.3,74,26,1785,3.5,15.7,0.9,2.1,10.9,John Collins,20,John Collins,PF
1.8,1.1,6.1,.398,4.0,.455,6.1,.310,1.2,3.9,10.0,0.9,4.6,66,1,1045,1.6,10.1,0.6,2.0,7.6,Zach Collins,20,Zach Collins,C
4.2,0.7,5.6,.384,2.8,.415,6.1,.235,0.3,1.3,7.4,1.6,3.3,32,2,480,2.4,7.6,1.3,1.8,8.0,Kyle Collinsworth,26,Kyle Collinsworth,SF
6.6,0.3,2.5,.495,5.6,.508,7.7,.468,1.7,3.7,11.4,2.3,2.2,69,64,2018,0.7,15.3,1.6,1.5,3.2,Darren Collison,30,Darren Collison,PG
1.9,0.0,6.2,.684,6.2,.684,9.1,,0.0,0.0,9.1,2.4,3.4,15,0,75,3.4,14.9,0.0,3.4,9.6,Nick Collison,37,Nick Collison,PF
4.7,0.3,2.6,.381,6.2,.440,8.8,.312,2.3,7.4,16.2,5.1,2.3,12,12,373,0.0,19.8,1.2,1.7,2.6,Mike Conley,30,Mike Conley,PG
2.2,0.5,3.0,.423,4.0,.506,4.4,.352,1.8,5.1,9.4,0.9,2.9,82,5,1488,0.9,10.7,0.6,1.0,3.9,Pat Connaughton,25,Pat Connaughton,SG
4.3,0.0,3.5,.484,5.9,.514,7.2,.442,2.2,5.1,12.3,1.1,2.9,33,18,740,0.5,15.2,0.6,1.6,4.0,Quinn Cook,24,Quinn Cook,PG
0.9,0.0,1.9,.143,1.9,.167,5.7,.125,0.9,7.6,13.3,0.9,0.0,13,0,38,0.0,5.7,0.9,0.9,1.9,Charles Cooke,23,Charles Cooke,SG
2.5,0.0,6.6,.481,5.4,.481,11.2,,0.0,0.0,11.2,5.8,5.4,7,0,87,5.8,16.6,0.4,1.2,12.4,Jack Cooley,26,Jack Cooley,PF
2.3,2.3,9.0,.500,2.3,.500,4.5,,0.0,0.0,4.5,0.0,7.9,4,0,32,1.1,4.5,2.3,1.1,10.1,Matt Costello,24,Matt Costello,C
