APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
10.6,5.0,-1.3,32.8,0.2,3.1,.000,.083,11,134,10.0,0.1,-4.3,13.4,1.1,17.7,21.9,.523,Andrew Bogut,14.5,0.0,0.3,.111,34,Andrew Bogut,C
8.5,4.8,1.2,19.0,0.9,2.0,.593,.167,44,639,8.0,0.5,-0.8,12.7,1.3,17.2,13.7,.595,Jonah Bolden,13.8,0.5,1.4,.106,23,Jonah Bolden,PF
14.9,2.7,-4.3,13.5,0.2,3.0,.242,.455,22,120,7.9,-0.3,-7.3,6.0,3.5,13.2,10.8,.240,Isaac Bonga,15.7,-0.1,-0.1,-0.059,19,Isaac Bonga,PG
,,,,,,,,,,,,,,,,,,,,,,,,,
34.1,0.5,0.8,11.3,0.3,-3.0,.330,.362,64,2242,1.9,3.3,3.8,20.2,1.2,15.4,6.5,.584,Devin Booker,32.9,1.6,3.5,.076,22,Devin Booker,SG
1.9,12.2,1.1,25.8,0.4,2.8,.487,.197,28,163,10.9,0.2,-1.7,22.2,1.8,7.8,18.5,.563,Chris Boucher,23.6,0.1,0.7,.194,26,Chris Boucher,PF
11.8,0.7,-2.8,7.3,1.0,-1.0,.403,.082,63,1905,2.5,-0.6,-1.7,7.6,1.0,12.4,4.9,.496,Avery Bradley,16.2,-0.4,0.3,.009,28,Avery Bradley,SG
8.8,0.9,-3.1,6.7,0.6,-0.7,.410,.060,49,1463,2.6,-1.0,-2.4,5.5,0.9,12.4,4.7,.464,Avery Bradley,14.2,-0.4,-0.3,-0.011,28,Avery Bradley,SG
21.6,0.0,-1.5,9.3,0.4,-2.1,.388,.133,14,442,2.0,0.3,0.6,14.5,1.6,12.3,5.6,.565,Avery Bradley,22.9,0.1,0.7,.074,28,Avery Bradley,SG
4.5,4.4,-0.7,17.7,0.1,1.3,.000,.125,3,36,27.6,0.0,-2.0,19.6,2.7,15.1,22.6,.504,Tony Bradley,23.6,0.0,0.1,.130,21,Tony Bradley,C
