Bird Rights,Remaining,Teams,Year1,Year2,Year3,Year4,Year5,Year6,name
,"$6,300,000",Miloš Teodosić,"$6,300,000",,,,,,Miloš Teodosić
,"$6,270,000",Wayne Ellington,"$6,270,000",,,,,,Wayne Ellington
MLE,"$12,000,000",Marco Belinelli,"$6,153,846","$5,846,154",,,,,Marco Belinelli
,"$6,134,520",Wesley Johnson,"$6,134,520",,,,,,Wesley Johnson
1st Round Pick,"$6,041,520",Josh Jackson,"$6,041,520","$7,059,480","$8,930,242",,,,Josh Jackson
,"$12,000,000",Montrezl Harrell,"$6,000,000","$6,000,000",,,,,Montrezl Harrell
Cap space,"$6,000,000",Jonathon Simmons,"$6,000,000","$1,000,000",,,,,Jonathon Simmons
Cap Space,"$6,000,000",Ish Smith,"$6,000,000",,,,,,Ish Smith
1st Round Pick,"$12,842,520",Jaren Jackson,"$5,915,040","$6,927,480","$7,257,360","$9,180,560",,,Jaren Jackson
1st Round pick,"$5,757,120",Brandon Ingram,"$5,757,120","$7,265,485",,,,,Brandon Ingram
MLE,"$5,750,000",Anthony Tolliver,"$5,750,000",,,,,,Anthony Tolliver
1st round pick,"$127,933,854",Kristaps Porziņģis,"$5,697,054",,,,,,Kristaps Porziņģis
,"$10,949,574",Deron Williams,"$5,474,787","$5,474,787",,,,,Deron Williams
1st Round Pick,"$11,863,680",De'Aaron Fox,"$5,470,920","$6,392,760","$8,099,627",,,,De'Aaron Fox
,"$5,460,000",Ben McLemore,"$5,460,000",,,,,,Ben McLemore
,"$5,455,236",Álex Abrines,"$5,455,236",,,,,,Álex Abrines
,,,,,,,,,
,,,,,,,,,
MLE,"$11,162,800",Patrick Patterson,"$5,451,600","$5,711,200",,,,,Patrick Patterson
,"$5,450,000",Jason Smith,"$5,450,000",,,,,,Jason Smith
Bird Rights,"$5,375,000",Marcus Morris,"$5,375,000",,,,,,Marcus Morris
1st Round Pick,"$11,629,440",Trae Young,"$5,356,440","$6,273,000","$6,571,800","$8,326,471",,,Trae Young
MLE,"$5,337,000",Dwight Howard,"$5,337,000","$5,603,850",,,,,Dwight Howard
MLE,"$5,337,000",DeMarcus Cousins,"$5,337,000",,,,,,DeMarcus Cousins
,"$10,663,458",Josh Smith,"$5,331,729","$5,331,729",,,,,Josh Smith
,"$5,285,394",Alexis Ajinça,"$5,285,394",,,,,,Alexis Ajinça
Cap space,"$5,250,000",Thabo Sefolosha,"$5,250,000",,,,,,Thabo Sefolosha
,"$5,193,600",Aron Baynes,"$5,193,600","$5,453,280",,,,,Aron Baynes
1st Rd pick,"$11,704,789",Jaylen Brown,"$5,169,960","$6,534,829",,,,,Jaylen Brown
Bird Rights,"$45,027,028",Patrick Beverley,"$5,027,028",,,,,,Patrick Beverley
Cap space,"$5,000,000",Mike Muscala,"$5,000,000",,,,,,Mike Muscala
Cap Space,"$5,000,000",Dirk Nowitzki,"$5,000,000",,,,,,Dirk Nowitzki
MLE,"$5,000,000",Tony Parker,"$5,000,000",,,,,,Tony Parker
1st Round Pick,"$10,775,520",Jonathan Isaac,"$4,969,080","$5,806,440","$7,362,566",,,,Jonathan Isaac
1st Round Pick,"$24,100,422",Mohamed Bamba,"$4,865,040","$5,697,600","$5,969,040","$7,568,742",,,Mohamed Bamba
1st round pick,"$4,696,875",Willie Cauley-Stein,"$4,696,875",,,,,,Willie Cauley-Stein
1st Round pick,"$4,661,280",Dragan Bender,"$4,661,280",,,,,,Dragan Bender
,"$4,544,400",Ron Baker,"$4,544,400",,,,,,Ron Baker
,,,,,,,,,
,,,,,,,,,
1st Round Pick,"$9,836,520",Lauri Markkanen,"$4,536,120","$5,300,400","$6,731,508",,,,Lauri Markkanen
,"$4,449,000",Lance Stephenson,"$4,449,000",,,,,,Lance Stephenson
Room Exception,"$4,449,000",Kyle O'Quinn,"$4,449,000",,,,,,Kyle O'Quinn
Room Exception,"$4,449,000",Ed Davis,"$4,449,000",,,,,,Ed Davis
1st Round Pick,"$9,642,600",Wendell Carter,"$4,441,200","$5,201,400","$5,448,840","$6,920,027",,,Wendell Carter
MLE,"$4,384,616",Justin Holiday,"$4,384,616",,,,,,Justin Holiday
Room Exception,"$8,510,000",Alex Len,"$4,350,000","$4,160,000",,,,,Alex Len
MLE,"$14,092,850",Mike Scott,"$4,320,500",,,,,,Mike Scott
,"$4,320,500",Luc Mbah a Moute,"$4,320,500",,,,,,Luc Mbah a Moute
1st round pick,"$4,294,480",Emmanuel Mudiay,"$4,294,480",,,,,,Emmanuel Mudiay
1st Round pick,"$9,569,007",Kris Dunn,"$4,221,000","$5,348,007",,,,,Kris Dunn
1st Round Pick,"$9,011,520",Frank Ntilikina,"$4,155,720","$4,855,800","$6,176,578",,,,Frank Ntilikina
MLE,"$4,075,000",Glenn Robinson,"$4,075,000",,,,,,Glenn Robinson
1st Round Pick,"$8,833,560",Collin Sexton,"$4,068,600","$4,764,960","$4,991,880","$6,349,671",,,Collin Sexton
,"$4,000,000",Al Jefferson,"$4,000,000",,,,,,Al Jefferson
1st round pick,"$3,940,402",Stanley Johnson,"$3,940,402",,,,,,Stanley Johnson
1st Round pick,"$8,694,968",Buddy Hield,"$3,833,760","$4,861,208",,,,,Buddy Hield
1st Round Pick,"$8,283,600",Dennis Smith,"$3,819,960","$4,463,640","$5,686,677",,,,Dennis Smith
1st Round Pick,"$8,120,040",Kevin Knox,"$3,739,920","$4,380,120","$4,588,680","$5,845,978",,,Kevin Knox
Cap Space,"$3,710,850",J.J. Barea,"$3,710,850",,,,,,J.J. Barea
,,,,,,,,,
,,,,,,,,,
Non-Bird Rights,"$3,651,480",Nenê Hilário,"$3,651,480",,,,,,Nenê Hilário
1st Round Pick,"$7,869,120",Zach Collins,"$3,628,920","$4,240,200","$5,406,255",,,,Zach Collins
1st round pick,"$3,627,842",Frank Kaminsky,"$3,627,842",,,,,,Frank Kaminsky
1st Round Pick,"$7,713,960",Mikal Bridges,"$3,552,960","$4,161,000","$4,359,000","$5,557,725",,,Mikal Bridges
,"$10,500,000",Mirza Teletović,"$3,500,000","$3,500,000","$3,500,000",,,,Mirza Teletović
,"$3,500,000",Michael Beasley,"$3,500,000",,,,,,Michael Beasley
1st Round pick,"$7,944,546",Jamal Murray,"$3,499,800","$4,444,746",,,,,Jamal Murray
,"$9,190,887",Rodney Hood,"$3,472,887",,,,,,Rodney Hood
,"$3,454,500",Jodie Meeks,"$3,454,500",,,,,,Jodie Meeks
1st round pick,"$29,448,926",Justise Winslow,"$3,448,926","$13,000,000","$13,000,000","$13,000,000",,,Justise Winslow
1st Round Pick,"$7,475,880",Malik Monk,"$3,447,480","$4,028,400","$5,345,687",,,,Malik Monk
1st round pick,"$75,410,284",Myles Turner,"$3,410,284","$18,000,000","$18,000,000","$18,000,000","$18,000,000",,Myles Turner
Bi-annual Exception,"$55,382,000",Brook Lopez,"$3,382,000",,,,,,Brook Lopez
Bi-Annual Exception,"$6,933,100",Allonzo Trier,"$3,382,000","$3,551,100",,,,,Allonzo Trier
1st Round Pick,"$3,375,360",Shai Gilgeous-Alexander,"$3,375,360","$3,952,920","$4,141,320","$5,495,532",,,Shai Gilgeous-Alexander
1st round pick,"$3,364,249",Trey Lyles,"$3,364,249",,,,,,Trey Lyles
Room Exception,"$3,360,000",Ekpe Udoh,"$3,360,000",,,,,,Ekpe Udoh
1st round pick,"$161,364,365",Devin Booker,"$3,314,365","$27,250,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000",Devin Booker
1st Round Pick,"$7,102,440",Luke Kennard,"$3,275,280","$3,827,160","$5,273,826",,,,Luke Kennard
,"$3,263,295",Cameron Payne,"$3,263,295",,,,,,Cameron Payne
,,,,,,,,,
,,,,,,,,,
Cap Space,"$3,258,539",Troy Daniels,"$3,258,539",,,,,,Troy Daniels
1st round pick,"$33,208,630",Kelly Oubre,"$3,208,630",,,,,,Kelly Oubre
1st Round Pick,"$6,962,040",Miles Bridges,"$3,206,640","$3,755,400","$3,934,320","$5,421,493",,,Miles Bridges
1st Rd pick,"$3,206,160",Marquese Chriss,"$3,206,160",,,,,,Marquese Chriss
