name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Antonio Davis,C,34,Antonio Davis,53,52,1894,7.4,18.1,.407,0.0,0.0,,7.4,18.1,.407,6.1,7.9,.771,3.7,8.7,12.3,3.7,0.6,1.7,3.3,4.2,20.8,99
Baron Davis,PG,23,Baron Davis,50,47,1889,9.4,22.7,.416,2.8,8.0,.350,6.6,14.6,.452,2.6,3.7,.710,1.6,3.7,5.3,9.1,2.6,0.6,4.0,4.2,24.3,103
Dale Davis,C,33,Dale Davis,78,78,2282,5.6,10.3,.541,0.0,0.0,,5.6,10.3,.541,2.5,3.9,.633,5.5,7.8,13.3,2.2,1.2,1.6,1.7,4.4,13.6,119
Emanual Davis,SG,34,Emanual Davis,24,1,340,5.0,13.7,.364,1.1,4.5,.241,3.9,9.2,.424,2.6,3.4,.773,0.8,5.9,6.7,5.6,1.9,0.3,3.9,4.3,13.7,87
Hubert Davis,SG,32,Hubert Davis,43,1,328,5.2,13.3,.392,2.0,6.1,.333,3.2,7.3,.442,0.8,1.0,.833,1.0,5.1,6.1,4.9,0.8,0.0,1.9,3.9,13.3,101
Ricky Davis,SG,23,Ricky Davis,79,76,3131,9.8,24.0,.410,1.2,3.3,.363,8.6,20.7,.417,5.7,7.6,.748,1.6,4.8,6.4,7.1,2.0,0.6,4.5,2.9,26.5,98
Andrew DeClercq,C,29,Andrew DeClercq,77,21,1327,5.8,10.8,.534,0.0,0.0,,5.8,10.8,.534,2.6,4.0,.644,5.5,7.7,13.2,2.0,1.5,1.4,3.3,10.0,14.2,106
Tony Delk,PG,29,Tony Delk,67,39,1873,6.6,15.8,.416,3.4,8.6,.395,3.2,7.2,.441,1.9,2.5,.782,1.2,5.4,6.5,4.1,2.0,0.3,1.9,3.5,18.4,108
Dan Dickau,PG,24,Dan Dickau,50,0,515,7.2,17.4,.412,2.3,6.3,.361,4.9,11.2,.440,2.2,2.7,.808,0.9,3.5,4.4,8.7,1.4,0.2,5.4,6.8,18.8,94
Michael Dickerson,SG,27,Michael Dickerson,6,1,87,6.0,14.3,.417,2.4,6.5,.364,3.6,7.7,.462,3.0,3.0,1.000,0.6,3.0,3.6,4.8,3.0,0.6,3.6,9.5,17.3,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeSagana Diop,PF,21,DeSagana Diop,80,1,943,2.9,8.3,.351,0.0,0.0,,2.9,8.3,.351,0.6,1.6,.367,3.4,8.2,11.6,2.3,1.8,4.4,3.0,8.0,6.4,74
Vlade Divac,C,34,Vlade Divac,80,80,2384,6.4,13.8,.466,0.1,0.5,.240,6.3,13.3,.475,3.8,5.3,.713,3.3,8.8,12.1,5.8,1.8,2.2,3.2,5.0,16.8,105
Juan Dixon,PG,24,Juan Dixon,42,3,647,8.8,22.8,.384,2.1,7.1,.298,6.6,15.7,.422,3.1,3.9,.804,1.1,5.0,6.1,3.4,2.2,0.3,3.5,4.5,22.7,90
Michael Doleac,C,25,Michael Doleac,75,0,1041,7.4,17.4,.426,0.0,0.0,,7.4,17.4,.426,1.8,2.3,.783,3.3,7.8,11.1,2.1,0.8,0.8,2.5,7.6,16.7,92
Keyon Dooling,SG,22,Keyon Dooling,55,1,969,6.9,17.8,.389,2.7,7.5,.360,4.2,10.3,.411,2.4,3.1,.772,0.5,3.4,3.9,4.8,1.3,0.3,3.3,5.0,19.0,97
