Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Lorenzo Brown,Timberwolves,2014-2015,REG,29,0.534,0.333,0.533,0.222,0.000,47.54,17.21,12.30,22.13,0.82,11.47,8.46,13.70
Mason Plumlee,Nets,2014-2015,REG,82,0.584,0.333,0.500,0.000,0.000,95.91,3.07,0.41,0.00,0.61,2.27,1.29,3.58
Michael Carter-Williams,"76ers, Bucks",2014-2015,REG,66,0.500,0.394,0.248,0.240,0.000,51.97,13.86,17.58,16.38,0.22,10.14,7.20,12.08
Mike Muscala,Hawks,2014-2015,REG,40,0.630,0.545,0.471,0.409,0.000,48.34,14.57,22.52,14.57,0.00,10.06,8.53,11.93
Nate Wolters,"Bucks, Pelicans",2014-2015,REG,21,0.405,0.429,0.333,0.000,0.000,64.91,12.28,10.53,12.28,0.00,8.09,5.10,9.70
Otto Porter,Wizards,2014-2015,REG,74,0.602,0.450,0.377,0.340,0.000,34.02,10.23,29.16,26.34,0.26,13.95,11.14,16.25
Ray McCallum,Kings,2014-2015,REG,68,0.535,0.466,0.329,0.315,0.000,46.64,12.58,17.14,23.43,0.22,11.48,8.93,13.47
Reggie Bullock,"Clippers, Suns",2014-2015,REG,36,0.538,0.000,0.182,0.311,0.000,18.84,0.00,15.94,65.22,0.00,19.23,16.52,20.59
Ricky Ledo,"Mavericks, Knicks",2014-2015,REG,17,0.327,0.000,0.308,0.370,0.000,57.29,1.04,13.54,28.13,0.00,11.24,11.19,11.27
Robert Covington,76ers,2014-2015,REG,70,0.496,0.231,0.227,0.378,0.000,30.01,5.18,5.84,58.70,0.27,17.03,15.35,18.13
Rudy Gobert,Jazz,2014-2015,REG,82,0.628,0.000,0.000,0.000,0.000,96.25,1.87,1.41,0.47,0.00,1.76,0.73,3.34
Shabazz Muhammad,Timberwolves,2014-2015,REG,38,0.603,0.333,0.326,0.392,0.000,55.16,21.16,10.83,12.85,0.00,8.64,6.56,10.64
Shane Larkin,Knicks,2014-2015,REG,76,0.531,0.396,0.430,0.302,0.000,40.51,11.11,21.53,26.85,0.00,12.93,10.70,14.63
Steven Adams,Thunder,2014-2015,REG,70,0.562,0.379,0.000,0.000,0.000,91.94,7.30,0.25,0.25,0.25,2.92,2.04,3.98
Tim Hardaway Jr.,Knicks,2014-2015,REG,69,0.505,0.302,0.381,0.345,0.000,26.78,7.39,16.46,48.95,0.42,16.91,14.94,18.17
Tony Snell,Bulls,2014-2015,REG,72,0.573,0.263,0.368,0.374,0.000,31.54,5.12,10.24,52.56,0.54,16.17,13.60,18.10
