Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Josh Richardson,Heat,2016-2017,REG,53,32.36,27.88,9.55,18.32,5.26,6.43,0.19,0.283,0.385,0.449,0.532,0.481,0.455,0.000
Darrun Hilliard,Pistons,2016-2017,REG,39,23.02,33.33,15.08,15.08,3.97,9.52,0.00,0.207,0.429,0.316,0.579,0.200,0.417,0.000
Joe Young,Pacers,2016-2017,REG,33,25.00,34.72,13.89,19.44,1.39,4.17,1.39,0.222,0.440,0.300,0.500,0.000,0.333,0.000
Treveon Graham,Hornets,2016-2017,REG,27,22.50,15.00,17.50,30.00,7.50,7.50,0.00,0.667,0.167,0.571,0.417,0.667,0.333,0.000
Larry Nance Jr.,Lakers,2016-2017,REG,63,5.28,28.61,17.22,44.44,1.11,2.78,0.56,0.368,0.388,0.484,0.688,0.250,0.200,0.000
Mario Hezonja,Magic,2016-2017,REG,65,32.42,27.27,7.58,21.52,5.15,4.85,1.21,0.327,0.311,0.360,0.521,0.294,0.188,0.000
Alan Williams,Suns,2016-2017,REG,47,0.00,6.37,38.95,54.31,0.00,0.00,0.37,0.000,0.412,0.404,0.614,0.000,0.000,0.000
Cristiano Felicio,Bulls,2016-2017,REG,66,0.00,14.48,8.60,76.92,0.00,0.00,0.00,0.000,0.313,0.368,0.653,0.000,0.000,0.000
Boban Marjanovic,Pistons,2016-2017,REG,34,0.00,14.39,37.12,48.48,0.00,0.00,0.00,0.000,0.368,0.367,0.734,0.000,0.000,0.000
Axel Toupane,"Bucks, Pelicans",2016-2017,REG,4,11.11,44.44,0.00,11.11,22.22,11.11,0.00,1.000,0.750,0.000,1.000,0.000,0.000,0.000
Maurice Ndour,Knicks,2016-2017,REG,32,5.81,36.05,9.30,46.51,2.33,0.00,0.00,0.000,0.323,0.375,0.625,0.500,0.000,0.000
Salah Mejri,Mavericks,2016-2017,REG,73,2.19,11.68,8.03,78.10,0.00,0.00,0.00,0.333,0.250,0.636,0.710,0.000,0.000,0.000
Marcelo Huertas,Lakers,2016-2017,REG,23,23.53,26.47,30.88,14.71,4.41,0.00,0.00,0.188,0.389,0.381,0.600,0.333,0.000,0.000
Jonathan Gibson,Mavericks,2016-2017,REG,17,44.21,26.32,8.42,17.89,1.05,1.05,1.05,0.333,0.360,0.500,0.412,1.000,0.000,0.000
Malcolm Delaney,Hawks,2016-2017,REG,73,18.81,51.55,6.70,13.40,4.90,4.12,0.52,0.274,0.460,0.269,0.385,0.263,0.063,0.000
Briante Weber,"Warriors, Hornets",2016-2017,REG,20,15.00,23.33,21.67,38.33,1.67,0.00,0.00,0.111,0.143,0.462,0.696,0.000,0.000,0.000
Dragan Bender,Suns,2016-2017,REG,43,43.13,10.63,5.00,21.88,8.13,11.25,0.00,0.261,0.294,0.500,0.571,0.385,0.278,0.000
Domantas Sabonis,Thunder,2016-2017,REG,81,23.49,16.84,18.09,32.02,4.16,5.41,0.00,0.336,0.407,0.299,0.532,0.200,0.346,0.000
